User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation
15359,8,-55.25793185,52.09513526,1.787796432,0.002216016,91.03314284
14605,8,-55.23327021,51.57741882,1.782783394,0.006380985,91.78972904
14942,8,-54.88192762,54.00106543,1.554655943,0.015109225,89.22844351
15341,8,-55.55873905,52.60132395,0.730852819,0.051756319,92.56379875
15262,8,-54.83829523,52.29703038,0.300590971,0.112874141,92.40968396
10557,3,-100.847086,100.6984432,1.7898806,0.115672958,75.759815
15216,8,-53.44139639,53.40230894,0.277843569,0.202104661,91.31768577
15552,8,-55.70628738,53.0770934,1.905026601,0.202514557,93.01505592
15444,8,-56.53789915,52.42014184,1.592792363,0.248802973,90.67227105
15689,8,-54.90847212,54.08878561,1.358068315,0.32499157,92.0271382
15658,8,-56.60101565,54.64632327,2.081694089,0.329814726,90.05523082
14937,8,-56.82775102,51.65897147,0.571484802,0.35205717,92.7124579
11430,3,-103.9098762,98.96819811,3.116241175,0.361080873,75.58731684
15409,8,-55.33724534,52.32697165,0.187473172,0.372892028,90.9060908
15242,8,-56.93230013,52.01929277,0.566749267,0.376421104,92.54680623
15271,8,-55.76539491,52.3210067,2.935560187,0.531186614,91.17466236
15820,8,-56.28135424,51.67457435,0.268924552,0.55888247,90.22654861
15256,8,-57.2738725,51.60493717,2.58667645,0.647696257,90.72393352
14564,8,-56.94039494,49.72687424,1.224683904,0.659346781,89.26088668
11228,3,-100.4667073,100.2149169,3.64701427,0.754437698,75.16564746
14651,8,-56.84520499,52.9931215,1.893488243,0.781780246,90.85943347
10912,3,-101.0244258,99.56772711,2.841121345,0.782475192,76.6065474
10516,3,-101.1762012,101.0527226,3.157349353,0.805093584,76.75461472
10644,3,-101.3970737,100.7066783,1.314186337,0.84374552,75.58463572
10944,3,-103.5554302,100.6183177,2.79348083,0.869982825,75.55814276
10990,3,-101.5516479,100.61185,0.258551419,0.888248778,76.47039281
15871,8,-55.98692221,53.37520152,3.21813205,0.888558351,90.1383928
10187,3,-101.6721716,100.7821644,1.876953246,0.967483646,76.17331678
10497,3,-101.1332934,99.64392575,1.418625718,0.975554886,76.94646773
10499,3,-98.83132253,99.94854088,1.940310519,0.980746161,76.19634644
10600,3,-103.1801938,101.5807879,2.070815728,1.014255801,76.29665493
10340,3,-101.4207655,100.1432442,1.932386979,1.016080542,74.4720778
11559,3,-100.1936191,101.7320418,2.770909468,1.02653359,76.79934544
11220,3,-99.72540079,101.9501125,2.821905899,1.029425861,74.44039857
11584,3,-101.6970289,101.2277488,3.293699291,1.030721774,77.00485383
11312,3,-101.774193,100.3266747,2.536880443,1.040296845,76.65350052
10496,3,-102.1935816,97.75616852,0.213155516,1.050611553,75.84098949
10262,3,-98.68104852,101.5359184,2.620447885,1.073373644,75.89933019
10325,3,-103.2799241,100.7563627,2.897649907,1.087406059,76.67329227
15990,8,-55.65280479,50.37001625,0.380943096,1.08932624,91.8715297
11087,3,-101.7310234,100.769916,0.817004465,1.090743746,74.29368367
14630,8,-53.39461481,51.072656,0.568534436,1.091041285,89.05866611
11384,3,-101.0832162,100.7852078,3.422279366,1.136475213,75.13538144
14934,8,-55.39557827,51.74098888,0.369361452,1.157110816,90.18663373
11148,3,-101.1831827,101.6417744,2.3428211,1.179161174,74.44135084
10852,3,-101.3824409,102.1161608,1.656490574,1.181740393,74.98960741
11014,3,-101.3134044,99.93723954,2.669899363,1.187825715,76.93218676
11564,3,-100.1895125,101.4902985,2.436045151,1.190136298,75.49486956
10543,3,-101.8587876,101.316621,2.645903425,1.201401516,76.94470277
15637,8,-58.51686329,53.98140612,0.849821552,1.226288958,91.04425096
11139,3,-101.2671745,99.11996077,1.380238462,1.231320972,79.07814552
15784,8,-56.20032264,51.34912006,0.339030201,1.287665801,92.96036836
10314,3,-101.5070768,101.0383674,0.916134166,1.291585272,75.9518391
11040,3,-101.0912578,100.2127542,1.551026129,1.295294987,74.28565409
10918,3,-102.4116451,99.93572885,2.977678951,1.302440814,74.99800521
