User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation
1,6,-75.0,30.0,10000.0,15000.0,70.0
2,9,-80.0,20.0,100.0,120.0,80.0
3,5,-85.0,40.0,5000.0,6000.0,75.0
4,1,-70.0,10.0,1000.0,1500.0,90.0
5,4,-78.0,25.0,2000.0,3000.0,85.0
6,0,-90.0,50.0,500.0,550.0,70.0
7,10,-88.0,30.0,1000.0,1000.0,60.0
8,3,-95.0,100.0,10.0,15.0,50.0
9,7,-82.0,35.0,3000.0,3500.0,80.0
10,2,-75.0,45.0,2000.0,2000.0,70.0
11,6,-76.0,32.0,12000.0,14000.0,70.0
12,4,-79.0,24.0,2500.0,2800.0,75.0
13,10,-87.0,28.0,1200.0,1200.0,65.0
14,8,-81.0,22.0,150.0,170.0,85.0
15,6,-74.0,29.0,10000.0,12000.0,60.0
16,5,-84.0,38.0,4500.0,5000.0,70.0
17,1,-69.0,9.0,1200.0,1300.0,80.0
18,0,-91.0,48.0,600.0,600.0,55.0
19,3,-96.0,105.0,8.0,9.0,70.0
20,7,-83.0,34.0,3200.0,3500.0,75.0
21,6,-77.0,31.0,11000.0,13000.0,75.0
22,4,-80.0,23.0,2200.0,2500.0,80.0
23,10,-86.0,29.0,1400.0,1400.0,70.0
24,8,-82.0,21.0,160.0,180.0,90.0
25,6,-73.0,28.0,10500.0,12500.0,75.0
26,5,-83.0,37.0,4200.0,4800.0,85.0
27,1,-68.0,8.0,1100.0,1200.0,70.0
28,0,-92.0,47.0,620.0,620.0,60.0
29,3,-97.0,110.0,7.0,8.0,65.0
30,7,-84.0,33.0,3400.0,3700.0,70.0
31,6,-78.0,30.0,10200.0,12200.0,75.0
32,4,-79.0,24.0,2300.0,2600.0,80.0
33,10,-88.0,27.0,1300.0,1300.0,70.0
34,8,-83.0,20.0,170.0,190.0,90.0
35,6,-72.0,27.0,10800.0,12800.0,75.0
36,5,-82.0,36.0,4000.0,4600.0,85.0
37,1,-67.0,7.0,1000.0,1100.0,70.0
38,0,-93.0,46.0,630.0,630.0,60.0
39,3,-98.0,105.0,6.0,7.0,65.0
40,7,-85.0,32.0,3500.0,3800.0,70.0
41,6,-79.0,29.0,10500.0,12300.0,70.0
42,4,-78.0,25.0,2400.0,2700.0,75.0
43,10,-87.0,28.0,1200.0,1200.0,70.0
44,8,-84.0,20.0,165.0,185.0,90.0
45,6,-71.0,26.0,10200.0,12600.0,80.0
