User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Efficiency
1,6,-75.0,30.0,10240.0,15360.0,138.33293527585383
2,9,-80.0,20.0,100.0,120.0,100.00514493427698
3,5,-85.0,40.0,5120.0,6144.0,134.42622950819674
4,1,-70.0,10.0,1024.0,1536.0,100.0
5,4,-78.0,25.0,2048.0,3072.0,92.26305609284333
6,0,-90.0,50.0,500.0,550.0,115.60758082497213
7,10,-88.0,30.0,1024.0,1024.0,66.66666666666666
8,3,-95.0,100.0,10.0,15.0,109.0909090909091
9,7,-82.0,35.0,3072.0,3584.0,115.74212893553224
10,2,-75.0,45.0,2048.0,2048.0,100.00766136688969
11,6,-76.0,32.0,12288.0,14336.0,128.2302364461428
12,4,-79.0,24.0,2560.0,2867.2,91.36041263700838
13,10,-87.0,28.0,1228.8,1228.8,86.66666666666667
14,8,-81.0,22.0,150.0,170.0,147.165991902834
15,6,-74.0,29.0,10240.0,12288.0,121.23238595653211
16,5,-84.0,38.0,4608.0,5120.0,121.03825136612022
17,1,-69.0,9.0,1228.8,1331.2,96.66666666666667
18,0,-91.0,48.0,600.0,600.0,125.41806020066889
19,3,-96.0,105.0,8.0,9.0,64.54545454545455
20,7,-83.0,34.0,3276.8,3584.0,117.46626686656674
21,6,-77.0,31.0,11264.0,13312.0,123.78791497492237
22,4,-80.0,23.0,2252.8,2560.0,88.94261766602192
23,10,-86.0,29.0,1433.6,1433.6,96.66666666666666
24,8,-82.0,21.0,160.0,180.0,154.35222672064776
25,6,-73.0,28.0,10752.0,12800.0,126.28373537138764
26,5,-83.0,37.0,4300.8,4915.2,119.34426229508196
27,1,-68.0,8.0,1126.4,1228.8,100.0
28,0,-92.0,47.0,620.0,620.0,129.59866220735785
29,3,-97.0,110.0,7.0,8.0,53.333333333333336
30,7,-84.0,33.0,3481.6,3788.8,123.53823088455773
31,6,-78.0,30.0,10444.8,12492.8,120.61141628851206
32,4,-79.0,24.0,2355.2,2662.4,88.33010960670535
33,10,-88.0,27.0,1331.2,1331.2,96.66666666666667
34,8,-83.0,20.0,170.0,190.0,161.53846153846155
35,6,-72.0,27.0,11059.2,13107.2,130.069262001433
36,5,-82.0,36.0,4096.0,4710.4,117.6502732240437
37,1,-67.0,7.0,1024.0,1126.4,103.33333333333334
38,0,-93.0,46.0,630.0,630.0,132.329988851728
39,3,-98.0,105.0,6.0,7.0,51.21212121212121
40,7,-85.0,32.0,3584.0,3891.2,127.43628185907046
41,6,-79.0,29.0,10752.0,12595.2,123.13112013374732
42,4,-78.0,25.0,2457.6,2764.8,87.7176015473888
43,10,-87.0,28.0,1228.8,1228.8,86.66666666666667
44,8,-84.0,20.0,165.0,185.0,158.9068825910931
45,6,-71.0,26.0,10444.8,12902.4,130.69023166945306
46,5,-81.0,35.0,3891.2,4505.6,115.95628415300547
47,1,-66.0,7.0,1126.4,1228.8,110.0
48,0,-94.0,45.0,640.0,640.0,135.0613154960981
49,3,-99.0,104.0,5.0,6.0,45.45454545454545
50,7,-86.0,31.0,3686.4,3993.6,131.33433283358323
51,6,-80.0,30.0,11264.0,12800.0,122.51015046572726
52,4,-77.0,24.0,2662.4,2969.6,92.8755641521599
53,10,-89.0,27.0,1126.4,1126.4,83.33333333333334
54,8,-85.0,21.0,160.0,190.0,159.6153846153846
55,6,-70.0,27.0,10956.8,12595.2,126.9047050394077
56,5,-80.0,35.0,4198.4,4812.8,120.95628415300547
57,1,-65.0,8.0,1024.0,1126.4,93.33333333333334
58,0,-95.0,46.0,650.0,650.0,135.22853957636568
59,3,-100.0,103.0,4.0,5.0,39.69696969696969
60,7,-87.0,32.0,3788.8,4096.0,131.784107946027
61,6,-81.0,29.0,10547.2,12390.4,121.86529734893719
62,4,-76.0,23.0,2764.8,3072.0,96.5183752417795
63,10,-90.0,26.0,1024.0,1024.0,79.99999999999999
64,8,-86.0,20.0,155.0,180.0,156.27530364372467
65,6,-69.0,26.0,11161.6,12697.6,129.42440888464293
66,5,-79.0,34.0,4403.2,5017.6,125.9289617486339
67,1,-64.0,7.0,1024.0,1126.4,103.33333333333334
68,0,-96.0,45.0,660.0,660.0,137.9598662207358
69,3,-101.0,102.0,3.0,4.0,33.93939393939395
70,7,-88.0,31.0,3891.2,4198.4,135.68215892053973
71,6,-82.0,28.0,10956.8,12492.8,124.38500119417243
72,4,-75.0,22.0,2867.2,3174.4,100.1611863313991
73,10,-91.0,25.0,921.6,921.6,76.66666666666666
74,8,-87.0,19.0,150.0,175.0,155.5668016194332
75,6,-68.0,25.0,11264.0,12800.0,131.9441127298782
76,5,-78.0,33.0,4505.6,5120.0,129.23497267759564
77,1,-63.0,6.0,921.6,1024.0,106.66666666666666
78,0,-97.0,44.0,670.0,670.0,140.6911928651059
79,3,-102.0,101.0,2.0,3.0,28.181818181818173
80,7,-89.0,30.0,3993.6,4300.8,139.5802098950525
81,6,-83.0,27.0,11059.2,12288.0,125.0059708621925
82,4,-74.0,21.0,2969.6,3276.8,103.8039974210187
83,10,-92.0,24.0,819.2,819.2,73.33333333333334
84,8,-88.0,18.0,145.0,170.0,154.85829959514172
85,6,-67.0,24.0,11468.8,13107.2,135.72963935992357
86,5,-77.0,32.0,4608.0,5222.4,132.54098360655738
87,1,-62.0,6.0,819.2,921.6,100.0
88,0,-98.0,43.0,680.0,680.0,143.42251950947605
89,3,-103.0,100.0,1.0,2.0,22.42424242424243
90,7,-90.0,29.0,4096.0,4403.2,143.47826086956522
91,6,-84.0,26.0,11161.6,12390.4,127.52567470742775
92,4,-73.0,20.0,3072.0,3379.2,107.4468085106383
93,10,-93.0,23.0,716.8,716.8,70.0
94,8,-89.0,17.0,140.0,165.0,154.1497975708502
95,6,-66.0,23.0,11673.6,13004.8,136.9835204203487
96,5,-76.0,31.0,4710.4,5324.8,135.84699453551912
97,1,-61.0,6.0,716.8,819.2,93.33333333333334
98,0,-99.0,42.0,690.0,690.0,146.15384615384616
99,3,-104.0,99.0,1.0,2.0,23.333333333333336
100,7,-91.0,28.0,4198.4,4505.6,147.37631184407797
101,8,-86.0,18.0,155.0,180.0,160.12145748987854
102,4,-74.0,22.0,2969.6,3276.8,101.67633784655061
103,10,-92.0,25.0,819.2,819.2,70.0
104,6,-67.0,24.0,11468.8,12800.0,133.8309051827084
105,5,-77.0,32.0,4608.0,5222.4,132.54098360655738
106,1,-62.0,6.0,819.2,921.6,100.0
107,0,-97.0,44.0,670.0,670.0,140.6911928651059
108,3,-103.0,100.0,1.0,2.0,22.42424242424243
109,7,-90.0,29.0,4096.0,4403.2,143.47826086956522
110,8,-85.0,19.0,150.0,175.0,155.5668016194332
111,6,-83.0,27.0,11059.2,12288.0,125.0059708621925
112,4,-72.0,21.0,3174.4,3481.6,106.83430045132172
113,10,-94.0,24.0,716.8,716.8,66.66666666666666
114,8,-88.0,18.0,145.0,170.0,154.85829959514172
115,6,-68.0,25.0,11673.6,13004.8,133.2099355146883
116,5,-76.0,31.0,4710.4,5324.8,135.84699453551912
117,1,-61.0,6.0,716.8,819.2,93.33333333333334
118,0,-98.0,43.0,680.0,680.0,143.42251950947605
119,3,-102.0,99.0,1.0,2.0,23.333333333333336
120,7,-89.0,30.0,4198.4,4505.6,143.92803598200902
121,8,-86.0,19.0,155.0,180.0,158.19838056680163
122,4,-74.0,22.0,2969.6,3276.8,101.67633784655061
123,10,-92.0,25.0,819.2,819.2,70.0
124,6,-67.0,24.0,11468.8,12800.0,133.8309051827084
125,5,-77.0,32.0,4608.0,5222.4,132.54098360655738
126,1,-62.0,6.0,819.2,921.6,100.0
127,0,-97.0,44.0,670.0,670.0,140.6911928651059
128,3,-103.0,100.0,1.0,2.0,22.42424242424243
129,7,-90.0,29.0,4096.0,4403.2,143.47826086956522
130,6,-85.0,19.0,150.0,175.0,65.23257907660616
131,10,-85.0,28.0,1536.0,1536.0,106.66666666666667
132,0,-99.0,46.0,620.0,620.0,130.88071348940912
133,8,-88.0,20.0,130.0,155.0,143.1174089068826
