User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation
1,6,-75,30,10000.0,15000.0,70
2,9,-80,20,100.0,120.0,80
3,5,-85,40,5000.0,6000.0,75
4,1,-70,10,1000.0,1500.0,90
5,4,-78,25,2000.0,3000.0,85
6,0,-90,50,500.0,550.0,70
7,10,-88,30,1000.0,1000.0,60
8,3,-95,100,10.0,15.0,50
9,7,-82,35,3000.0,3500.0,80
10,2,-75,45,2000.0,2000.0,70
11,6,-76,32,12000.0,14000.0,70
12,4,-79,24,2500.0,2800.0,75
13,10,-87,28,1200.0,1200.0,65
14,8,-81,22,150.0,170.0,85
15,6,-74,29,10000.0,12000.0,60
16,5,-84,38,4500.0,5000.0,70
17,1,-69,9,1200.0,1300.0,80
18,0,-91,48,600.0,600.0,55
19,3,-96,105,8.0,9.0,70
20,7,-83,34,3200.0,3500.0,75
21,6,-77,31,11000.0,13000.0,75
22,4,-80,23,2200.0,2500.0,80
23,10,-86,29,1400.0,1400.0,70
24,8,-82,21,160.0,180.0,90
25,6,-73,28,10500.0,12500.0,75
26,5,-83,37,4200.0,4800.0,85
27,1,-68,8,1100.0,1200.0,70
28,0,-92,47,620.0,620.0,60
29,3,-97,110,7.0,8.0,65
30,7,-84,33,3400.0,3700.0,70
31,6,-78,30,10200.0,12200.0,75
32,4,-79,24,2300.0,2600.0,80
33,10,-88,27,1300.0,1300.0,70
34,8,-83,20,170.0,190.0,90
35,6,-72,27,10800.0,12800.0,75
36,5,-82,36,4000.0,4600.0,85
37,1,-67,7,1000.0,1100.0,70
38,0,-93,46,630.0,630.0,60
39,3,-98,105,6.0,7.0,65
40,7,-85,32,3500.0,3800.0,70
41,6,-79,29,10500.0,12300.0,70
42,4,-78,25,2400.0,2700.0,75
43,10,-87,28,1200.0,1200.0,70
44,8,-84,20,165.0,185.0,90
45,6,-71,26,10200.0,12600.0,80
46,5,-81,35,3800.0,4400.0,85
47,1,-66,7,1100.0,1200.0,70
48,0,-94,45,640.0,640.0,60
49,3,-99,104,5.0,6.0,65
50,7,-86,31,3600.0,3900.0,70
51,6,-80,30,11000.0,12500.0,80
52,4,-77,24,2600.0,2900.0,85
53,10,-89,27,1100.0,1100.0,70
54,8,-85,21,160.0,190.0,90
55,6,-70,27,10700.0,12300.0,75
56,5,-80,35,4100.0,4700.0,85
57,1,-65,8,1000.0,1100.0,70
58,0,-95,46,650.0,650.0,60
59,3,-100,103,4.0,5.0,75
60,7,-87,32,3700.0,4000.0,70
61,6,-81,29,10300.0,12100.0,70
62,4,-76,23,2700.0,3000.0,80
63,10,-90,26,1000.0,1000.0,70
64,8,-86,20,155.0,180.0,90
65,6,-69,26,10900.0,12400.0,75
66,5,-79,34,4300.0,4900.0,85
67,1,-64,7,1000.0,1100.0,70
68,0,-96,45,660.0,660.0,60
69,3,-101,102,3.0,4.0,75
70,7,-88,31,3800.0,4100.0,70
71,6,-82,28,10700.0,12200.0,70
72,4,-75,22,2800.0,3100.0,80
73,10,-91,25,900.0,900.0,70
74,8,-87,19,150.0,175.0,90
75,6,-68,25,11000.0,12500.0,75
76,5,-78,33,4400.0,5000.0,85
77,1,-63,6,900.0,1000.0,70
78,0,-97,44,670.0,670.0,60
79,3,-102,101,2.0,3.0,75
80,7,-89,30,3900.0,4200.0,70
81,6,-83,27,10800.0,12000.0,70
82,4,-74,21,2900.0,3200.0,80
83,10,-92,24,800.0,800.0,70
84,8,-88,18,145.0,170.0,90
85,6,-67,24,11200.0,12800.0,75
86,5,-77,32,4500.0,5100.0,85
87,1,-62,6,800.0,900.0,70
88,0,-98,43,680.0,680.0,60
89,3,-103,100,1.0,2.0,75
90,7,-90,29,4000.0,4300.0,70
91,6,-84,26,10900.0,12100.0,70
92,4,-73,20,3000.0,3300.0,80
93,10,-93,23,700.0,700.0,70
94,8,-89,17,140.0,165.0,90
95,6,-66,23,11400.0,12700.0,75
96,5,-76,31,4600.0,5200.0,85
97,1,-61,6,700.0,800.0,70
98,0,-99,42,690.0,690.0,60
99,3,-104,99,1.0,2.0,75
100,7,-91,28,4100.0,4400.0,70
101,8,-86,18,155.0,180.0,90
102,4,-74,22,2900.0,3200.0,80
103,10,-92,25,800.0,800.0,70
104,6,-67,24,11200.0,12500.0,75
105,5,-77,32,4500.0,5100.0,85
106,1,-62,6,800.0,900.0,70
107,0,-97,44,670.0,670.0,60
108,3,-103,100,1.0,2.0,75
109,7,-90,29,4000.0,4300.0,70
110,8,-85,19,150.0,175.0,90
111,6,-83,27,10800.0,12000.0,70
112,4,-72,21,3100.0,3400.0,80
113,10,-94,24,700.0,700.0,70
114,8,-88,18,145.0,170.0,90
115,6,-68,25,11400.0,12700.0,75
116,5,-76,31,4600.0,5200.0,85
117,1,-61,6,700.0,800.0,70
118,0,-98,43,680.0,680.0,60
119,3,-102,99,1.0,2.0,75
120,7,-89,30,4100.0,4400.0,70
121,8,-86,19,155.0,180.0,90
122,4,-74,22,2900.0,3200.0,80
