iter	RMSE
0	8.04071082
1	7.628204312
2	7.249580707
3	6.869917779
4	6.544829567
5	6.2275884
6	5.926356871
7	5.655472935
8	5.401483485
9	5.151297811
10	4.922876152
11	4.711224952
12	4.515772569
13	4.336104965
14	4.168902123
15	4.03511461
16	3.891115526
17	3.76875271
18	3.633564742
19	3.516535681
20	3.415902371
21	3.330621269
22	3.253452922
23	3.164581507
24	3.086613431
25	3.004450815
26	2.937843177
27	2.875226867
28	2.820031031
29	2.766276307
30	2.707950164
31	2.664856411
32	2.610268736
33	2.558111265
34	2.511468229
35	2.468527846
36	2.422057329
37	2.389679686
38	2.354897467
39	2.320531037
40	2.289062048
41	2.265438754
42	2.238721511
43	2.217760318
44	2.198029316
45	2.17925232
46	2.160142765
47	2.140835378
48	2.121065634
49	2.105734998
50	2.087379256
51	2.075420737
52	2.058643886
53	2.044874419
54	2.034753136
55	2.019959179
56	1.996869266
57	1.978675971
58	1.972293208
59	1.960639042
60	1.946712487
61	1.935041754
62	1.928210478
63	1.912862647
64	1.902394037
65	1.896536981
66	1.884009575
67	1.871446226
68	1.859143875
69	1.847716128
70	1.837220516
71	1.826308131
72	1.816605595
73	1.806097895
74	1.790206918
75	1.781656787
76	1.777990993
77	1.764949885
78	1.760445717
79	1.751744544
80	1.742402097
81	1.730371102
82	1.724149318
83	1.715574944
84	1.708813428
85	1.698647582
86	1.691530031
87	1.679992246
88	1.676340217
89	1.668879692
90	1.658818599
91	1.652177693
92	1.645406356
93	1.63954939
94	1.633780176
95	1.625256708
96	1.616152789
97	1.610653176
98	1.604136377
99	1.598643386
100	1.593979886
101	1.588906337
102	1.582592603
103	1.578406194
104	1.570334735
105	1.56551157
106	1.559537537
107	1.553391972
108	1.54895075
109	1.542924991
110	1.537509306
111	1.532197316
112	1.528374601
113	1.524162544
114	1.520226832
115	1.513908238
116	1.507036581
117	1.501418227
118	1.496041086
119	1.489834129
120	1.484962897
121	1.481148668
122	1.47803425
123	1.473382006
124	1.469099494
125	1.46475361
126	1.462296217
127	1.459685004
128	1.456613838
129	1.454044179
130	1.451302949
131	1.447149108
132	1.44408842
133	1.439946676
134	1.437247154
135	1.43421084
136	1.429842747
137	1.425975204
138	1.422255823
139	1.418936134
140	1.415036565
141	1.411822894
142	1.408759409
143	1.40657336
144	1.402310738
145	1.400167286
146	1.396798565
147	1.393838064
148	1.390193169
149	1.388342574
150	1.385161462
151	1.382451548
152	1.379902096
153	1.377230284
154	1.37463287
155	1.371919027
156	1.369305898
157	1.366850329
158	1.365198497
159	1.362475953
160	1.359415676
161	1.356754004
162	1.354180149
163	1.352261546
164	1.350399925
165	1.348059636
166	1.346152903
167	1.344024778
168	1.341838336
169	1.339503867
170	1.336003354
171	1.333540325
172	1.331862146
173	1.329171485
174	1.327171009
175	1.325008403
176	1.323256567
177	1.321197108
178	1.319422795
179	1.317305802
180	1.315745602
181	1.313712065
182	1.311768823
183	1.309828329
184	1.307132428
185	1.30545069
186	1.30412242
187	1.301359973
188	1.299174562
189	1.297875349
190	1.296703453
191	1.294869943
192	1.293635696
193	1.292070434
194	1.290031629
195	1.288010391
196	1.285886686
197	1.283913425
198	1.282374488
199	1.280130916
200	1.278506078
201	1.276773079
202	1.274620877
203	1.273886413
204	1.27240054
205	1.270855395
206	1.26963162
207	1.268212675
208	1.265942932
209	1.265199586
210	1.262327618
211	1.261666128
212	1.260369724
213	1.257723357
214	1.256467637
215	1.255094008
216	1.253642197
217	1.252443261
218	1.249648031
219	1.24793753
220	1.246978592
221	1.245205008
222	1.243961291
223	1.242886285
224	1.241833294
225	1.240288618
226	1.237985611
227	1.236763568
228	1.235708708
229	1.235125578
230	1.233844548
231	1.232472905
232	1.231501068
233	1.229497658
234	1.227966986
235	1.226651253
236	1.225691104
237	1.224458518
238	1.222616704
239	1.221541071
240	1.220246322
241	1.219518918
242	1.218509152
243	1.217564775
244	1.216112251
245	1.215622318
246	1.214749845
247	1.213860993
248	1.212762373
249	1.211782413
250	1.210831801
251	1.209773151
252	1.208206921
253	1.207298998
254	1.206000939
255	1.20534888
256	1.204190298
257	1.203824509
258	1.202406867
259	1.201997566
260	1.201052831
261	1.199630733
262	1.199081012
263	1.197724272
264	1.196662678
265	1.195385551
266	1.194344555
267	1.193427453
268	1.191838446
269	1.191188522
270	1.190628311
271	1.189239055
272	1.187994224
273	1.187125497
274	1.18651176
275	1.185690182
276	1.18504478
277	1.184290792
278	1.183799836
279	1.182931844
280	1.181643456
281	1.180966296
282	1.180596061
283	1.179168386
284	1.178374092
285	1.177985502
286	1.177566654
287	1.176806656
288	1.176386861
289	1.175765573
290	1.175198894
291	1.174246978
292	1.17317441
293	1.172264363
294	1.171702223
295	1.170988363
296	1.170543741
297	1.16966158
298	1.168698838
299	1.168240593
300	1.167985201
301	1.167698173
302	1.167209258
303	1.166387347
304	1.165804032
305	1.165544598
306	1.165014196
307	1.164635049
308	1.164069207
309	1.163559361
310	1.162869209
311	1.16230155
312	1.161308034
313	1.160417674
314	1.160079417
315	1.159618259
316	1.158843212
317	1.15813716
318	1.157352688
319	1.157059073
320	1.156787348
321	1.155489515
322	1.154903375
323	1.154715238
324	1.154331313
325	1.153783838
326	1.153147041
327	1.152661687
328	1.152463268
329	1.151767598
330	1.151309207
331	1.151195694
332	1.150055486
333	1.149206605
334	1.148089861
335	1.147724147
336	1.147275595
337	1.146463951
338	1.146343158
339	1.146030198
340	1.145461425
341	1.144477429
342	1.143822653
343	1.143665506
344	1.143327036
345	1.142699584
346	1.142437748
347	1.142066382
348	1.141824714
349	1.141445394
350	1.140942003
351	1.140669618
352	1.139659241
353	1.139396034
354	1.139244305
355	1.13915166
356	1.1388955
357	1.13880931
358	1.137825063
359	1.137746451
360	1.137384032
361	1.136755494
362	1.136508429
363	1.13622582
364	1.135957729
365	1.135570234
366	1.135308894
367	1.134765438
368	1.134201894
369	1.134030694
370	1.133802541
371	1.132883249
372	1.13254127
373	1.131697645
374	1.130969822
375	1.130551669
376	1.130340564
377	1.130188579
378	1.129811527
379	1.128991037
380	1.128244277
381	1.127874641
382	1.127736682
383	1.127403104
384	1.126780574
385	1.12604099
386	1.125457626
387	1.124993797
388	1.124451061
389	1.124124606
390	1.12385904
391	1.123369827
392	1.122794642
393	1.122115515
394	1.121522865
395	1.121021484
396	1.120735402
397	1.120624143
398	1.120161671
399	1.120006444
400	1.119349729
401	1.118806299
402	1.11835382
403	1.118011667
404	1.117590916
405	1.117434186
406	1.116963884
407	1.116454936
408	1.115937755
409	1.11573623
410	1.11540587
411	1.115292365
412	1.115115542
413	1.114958887
414	1.114713323
415	1.114579139
416	1.114278438
417	1.114059147
418	1.113754645
419	1.113221939
420	1.112863754
421	1.112297542
422	1.111873148
423	1.111594904
424	1.111185913
425	1.111068653
426	1.110760619
427	1.110212201
428	1.109840067
429	1.109431496
430	1.108937698
431	1.108674371
432	1.108198229
433	1.107943675
434	1.10778653
435	1.107678552
436	1.107345392
437	1.106782457
438	1.106450603
439	1.106261917
440	1.106007751
441	1.105599492
442	1.105376453
443	1.105270851
444	1.104768311
445	1.104436969
446	1.104257156
447	1.104129007
448	1.103998298
449	1.103874119
450	1.103782533
451	1.103294951
452	1.103163041
453	1.103033329
454	1.102962124
455	1.102816489
456	1.102472042
457	1.102312576
458	1.102150247
459	1.101781404
460	1.101314722
461	1.1012108
462	1.100929713
463	1.100800609
464	1.10042776
465	1.100076666
466	1.099876451
467	1.099812925
468	1.099672683
469	1.099370642
470	1.098845334
471	1.098506889
472	1.09798048
473	1.097907733
474	1.097684168
475	1.097402298
476	1.097150684
477	1.096904787
478	1.096720376
479	1.096479927
480	1.096274866
481	1.096042768
482	1.095907678
483	1.09579207
484	1.095672689
485	1.095542651
486	1.095272296
487	1.095089806
488	1.0949642
489	1.094711136
490	1.094646422
491	1.094475264
492	1.094073215
493	1.093779475
494	1.093186435
495	1.092851642
496	1.092562626
497	1.09224592
498	1.092071114
499	1.091787249
500	1.091557094
501	1.09145605
502	1.091353046
503	1.091269701
504	1.091029418
505	1.090745677
506	1.090471633
507	1.090385889
508	1.090032252
509	1.089779786
510	1.089590665
511	1.089516017
512	1.08919017
513	1.088943824
514	1.088823746
515	1.088532774
516	1.088126526
517	1.087942682
518	1.087711616
519	1.087413881
520	1.08729436
521	1.087177662
522	1.08710721
523	1.086885013
524	1.086701447
525	1.086357886
526	1.086250285
527	1.086097536
528	1.085881351
529	1.085801437
530	1.085505793
531	1.085448303
532	1.085340318
533	1.085241456
534	1.084946374
535	1.084846993
536	1.084623926
537	1.084440969
538	1.084212624
