iter	Passed	Remaining
0	148	147884
1	151	75654
2	154	51452
3	158	39442
4	161	32179
5	165	27335
6	168	23851
7	171	21236
8	174	19239
9	177	17619
10	181	16286
11	184	15164
12	187	14218
13	190	13433
14	193	12722
15	196	12114
16	200	11567
17	203	11078
18	206	10657
19	209	10261
20	212	9896
21	215	9562
22	217	9259
23	220	8983
24	223	8730
25	226	8491
26	229	8269
27	232	8064
28	235	7878
29	238	7696
30	240	7531
31	243	7372
32	246	7224
33	249	7081
34	252	6956
35	255	6839
36	258	6726
37	261	6629
38	265	6539
39	269	6458
40	272	6371
41	275	6277
42	277	6186
43	280	6101
44	283	6019
45	286	5938
46	289	5869
47	293	5814
48	297	5765
49	300	5718
50	304	5672
51	308	5631
52	312	5589
53	316	5538
54	319	5493
55	323	5459
56	327	5420
57	331	5381
58	334	5338
59	338	5298
60	342	5273
61	346	5241
62	349	5204
63	354	5177
64	359	5166
65	363	5143
66	367	5116
67	371	5089
68	376	5086
69	381	5069
70	384	5033
71	388	5004
72	391	4974
73	395	4949
74	399	4921
75	403	4901
76	406	4877
77	410	4853
78	414	4827
79	417	4800
80	420	4774
81	424	4751
82	427	4723
83	431	4700
84	434	4679
85	438	4661
86	442	4639
87	445	4617
88	448	4595
89	452	4574
90	456	4555
91	459	4533
92	462	4509
93	465	4486
94	468	4463
95	471	4440
96	474	4419
97	477	4397
98	480	4376
99	483	4354
100	486	4334
101	489	4312
102	493	4294
103	496	4274
104	499	4255
105	502	4235
106	505	4216
107	508	4200
108	511	4184
109	515	4171
110	519	4163
111	523	4152
112	527	4141
113	530	4126
114	534	4116
115	538	4105
116	542	4096
117	546	4081
118	549	4070
119	553	4057
120	556	4044
121	559	4030
122	563	4015
123	566	4002
124	570	3994
125	574	3984
126	578	3975
127	582	3966
128	585	3954
129	589	3941
130	592	3931
131	596	3919
132	599	3906
133	602	3895
134	606	3883
135	609	3873
136	613	3863
137	617	3854
138	620	3843
139	624	3834
140	627	3824
141	631	3815
142	634	3804
143	638	3793
144	641	3783
145	644	3772
146	648	3765
147	652	3754
148	655	3746
149	659	3735
150	662	3725
151	666	3716
152	669	3705
153	672	3696
154	676	3685
155	679	3676
156	683	3668
157	687	3661
158	690	3652
159	693	3643
160	697	3632
161	700	3622
162	703	3612
163	706	3602
164	710	3595
165	713	3585
166	716	3576
167	720	3567
168	723	3558
169	727	3549
170	730	3540
171	733	3530
172	736	3520
173	739	3511
174	743	3502
175	746	3492
176	749	3484
177	752	3476
178	756	3468
179	759	3460
180	763	3452
181	766	3445
182	769	3435
183	772	3427
184	776	3418
185	779	3411
186	782	3403
187	786	3396
188	789	3388
189	792	3380
190	796	3374
191	800	3367
192	803	3360
193	806	3352
194	810	3345
195	813	3338
196	817	3330
197	820	3322
198	823	3314
199	827	3308
200	830	3301
201	834	3295
202	837	3287
203	840	3281
204	844	3274
205	847	3266
206	851	3260
207	854	3253
208	857	3245
209	861	3240
210	864	3233
211	868	3226
212	871	3219
213	875	3215
214	878	3208
215	882	3203
216	886	3197
217	889	3191
218	892	3184
219	896	3178
220	899	3170
221	903	3164
222	906	3158
223	909	3151
224	913	3145
225	916	3138
226	920	3133
227	923	3126
228	926	3119
229	929	3111
230	932	3103
231	935	3097
232	938	3090
233	942	3084
234	945	3077
235	948	3071
236	952	3065
237	955	3059
238	958	3053
239	961	3046
240	965	3042
241	969	3035
242	972	3028
243	975	3021
244	978	3014
245	982	3009
246	985	3003
247	988	2998
248	991	2991
249	994	2984
250	997	2977
251	1000	2971
252	1004	2964
253	1007	2957
254	1010	2951
255	1013	2945
256	1016	2938
257	1019	2932
258	1022	2925
259	1025	2919
260	1028	2912
261	1031	2905
262	1034	2899
263	1037	2892
264	1040	2885
265	1043	2880
266	1046	2873
267	1049	2866
268	1052	2860
269	1055	2853
270	1058	2846
271	1061	2840
